year;state;area;production;yield;mean;max;min;precip;rainy;steampressure;airpressure;sunnydays;fertilizer
2000-01;Jammu;12022;30701,3;2,553759774;17,08571429;34,6;-5,3;305;36;13,95714286;1007,919178;1358;
2001-02;Jammu;12022;26550;2,208451173;16,77142857;34,9;-5;246;35;13,35714286;1007,682782;1246;
2002-03;Jammu;10346;24421;2,360429151;16,67142857;34,3;-4,3;296;30;13,87142857;1007,803798;1253;
2003-04;Jammu;12022;32797;2,72808185;16,55714286;34,5;-4,3;276;24;13,48571429;1008,021018;1423;
2004-05;Jammu;11736;31402;2,675698705;16,54285714;36,5;-6,3;189;22;13,5;1007,9755;1394;
2005-06;Jammu;11736;35813;3,051550784;16,84285714;35,5;-3,4;585;57;14,62857143;1007,552777;1259;
2006-07;Jammu;10282;32856,4;3,195526162;16,54285714;34,5;-7,2;183;31;13,22857143;1008,395213;1350;
2007-08;Jammu;2100;5607;2,67;16,25714286;35,4;-4,9;169;29;12,4;1007,909488;1358;
2009-10;Jammu;2441;6349,33;2,601118394;16,6;34,3;-6,6;360;47;13,77142857;1007,851556;1127;
2010-11;Jammu;2389;5023,3;2,102678945;17,25714286;34,3;-4,9;265;42;14,04285714;1007,70476;1174;
2011-12;Jammu;3757;10076,6;2,682086771;16,58571429;34,4;-4;222;34;13,18571429;1007,945039;1004;
2012-13;Jammu;3709;3794,6;1,023078997;16,71428571;33,9;-5,6;382;30;13,5;1007,233148;1077;
2014-15;Jammu;3977;11779;2,961780236;16,14285714;33,6;-5,6;461;44;13,78571429;1007,966747;918;
2015-16;Jammu;2905;7103,3;2,445197935;16,98571429;34,4;-6,5;139;21;13,17142857;1008,248487;922;
2016-17;Jammu;2904;7647,3;2,633367769;17,05714286;33,7;-3,6;196;33;13,28571429;1008,07718;995;
2017-18;Jammu;2902;7240,8;2,495106823;16,22857143;35,1;-7,7;348;35;13,01428571;1007,88793;814;
2018-19;Jammu;2903;7387,33;2,544722701;16,35714286;33,6;-6,5;546;47;13,14285714;1007,775284;1008;
2019-20;Jammu;2903;6651,33;2,29119187;16,7;35,7;-6,6;273;29;13,01428571;1007,821173;1299;
2000-01;Assam;102850;141287;1,373719008;26,51428571;36,2;9,7;1165;77;29,01428571;1006,828571;1083;68.44
2001-02;Assam;98378;139064;1,413568074;26,2;34,8;10;1074;83;28,1;1007,1;1054;71.94
2002-03;Assam;95669;142919;1,493890393;26,41428571;37,4;9,9;1552;87;28,76666667;1006,683333;966;83.46
